stock,endDate,costOfRevenue,totalRevenue,incomeTaxExpense,interestExpense,ebit,grossProfit
IVC,2019-12-31,665897000,927964000,9302000,-29076000,2084000,262067000
IVC,2018-12-31,704671000,972347000,9820000,-28336000,-14380000,267676000
IVC,2017-12-31,697246000,966497000,10291000,-22907000,-27487000,269251000
IVC,2016-12-31,763847000,1047474000,13299000,-15875000,-20349000,283627000
CSLT,2019-12-31,59074000,143308000,0,,-41338000,84234000
CSLT,2018-12-31,60189000,156404000,0,,-38994000,96215000
CSLT,2017-12-31,46652000,132020000,-5206000,,-55297000,85368000
CSLT,2016-12-31,31866000,98708000,0,,-56218000,66842000
LPX,2019-12-31,2007000000,2310000000,-13000000,-19000000,73000000,303000000
LPX,2018-12-31,2084000000,2828000000,122000000,-16000000,535000000,744000000
LPX,2017-12-31,1998000000,2734000000,119000000,-19000000,530000000,736000000
LPX,2016-12-31,1829100000,2233400000,19800000,-32100000,195600000,404300000
GDYN,2019-12-31,69064000,118326000,4642000,,18133000,49262000
GDYN,2018-12-31,51533000,91865000,3855000,,16337000,40332000
GDYN,2017-12-31,39935000,70684000,-76000,,14982000,30749000
ARA,2019-12-31,568017000,822522000,-17838000,-43587000,82667000,254505000
ARA,2018-12-31,559231000,805776000,2896000,-32632000,94864000,246545000
ARA,2017-12-31,472941000,729002000,9471000,-29309000,106974000,256061000
ARA,2016-12-31,427107000,766780000,2479000,-35959000,154194000,339673000
MBOT,2019-12-31,0,0,0,-103000,-7240000,0
MBOT,2018-12-31,0,0,0,-16000,-7244000,0
MBOT,2017-12-31,0,0,0,-16000,-5267000,0
MBOT,2016-12-31,0,0,0,-16000,-9635000,0
AZRX,2019-12-31,0,0,0,-433939,-14743747,0
AZRX,2018-12-31,0,0,0,-101846,-13221771,0
AZRX,2017-12-31,0,0,0,-875199,-10081184,0
AZRX,2016-12-31,0,0,0,-5937486,-6625158,0
XXII,2019-12-31,25818075,25832530,0,-56382,-21704112,14455
XXII,2018-12-31,25527360,26426347,0,-10939,-24018627,898987
XXII,2017-12-31,17308156,16600244,0,-29104,-13299864,-707912
XXII,2016-12-31,12709678,12279979,0,-37745,-11387847,-429699
ABTX,2019-12-31,0,187021000,13427000,,0,187021000
ABTX,2018-12-31,0,132044000,7948000,,0,132044000
ABTX,2017-12-31,0,96341000,8747000,,0,96341000
ABTX,2016-12-31,0,89613000,9554000,,0,89613000
NATH,2019-03-31,58810000,101849000,7917000,-10792000,27976000,43039000
NATH,2018-03-25,62258000,104201000,1482000,-13591000,27100000,41943000
NATH,2017-03-26,55020000,96256000,4319000,-14665000,26280000,41236000
NATH,2016-03-27,61114000,100449000,4288000,-14630000,24963000,39335000
EGBN,2019-12-31,0,336653000,53848000,,0,336653000
EGBN,2018-12-31,0,330919000,51932000,,0,330919000
EGBN,2017-12-31,0,304288000,85504000,,0,304288000
EGBN,2016-12-31,0,274118000,61395000,,0,274118000
PUK,2019-12-31,85966000000,93736000000,334000000,-516000000,2548000000,7770000000
PUK,2018-12-31,27680000000,35845000000,676000000,-547000000,3892000000,8165000000
PUK,2017-12-31,75333000000,86390000000,1580000000,-425000000,3865000000,11057000000
PUK,2016-12-31,62130000000,71718000000,1291000000,-360000000,3628000000,9588000000
TSLX,2019-12-31,0,251495000,3750000,-39875000,181143000,251495000
TSLX,2018-12-31,0,261914000,3375000,-44462000,190025000,261914000
TSLX,2017-12-31,0,210897000,2835000,-28472000,150535000,210897000
TSLX,2016-12-31,0,192410000,2225000,-23441000,132666000,192410000
LOGC,2019-12-31,0,0,22000,-546000,-41041000,0
LOGC,2018-12-31,0,0,86000,-2000,-17943000,0
LOGC,2017-12-31,0,0,62000,-2000,-5854000,0
LOGC,2016-12-31,0,0,18000,-1000,-3403000,0
NUE,2019-12-31,19888498000,22588858000,411897000,-157358000,1932837000,2700360000
NUE,2018-12-31,20771871000,25067279000,748307000,-161256000,3304186000,4295408000
NUE,2017-12-31,17682986000,20252393000,369386000,-187282000,1881876000,2569407000
NUE,2016-12-31,14182215000,16208122000,398243000,-181179000,1462846000,2025907000
KSU,2019-12-31,1441300000,2866000000,247600000,-115900000,1055100000,1424700000
KSU,2018-12-31,1418800000,2714000000,257500000,-110000000,968400000,1295200000
KSU,2017-12-31,1367500000,2582900000,-89600000,-100200000,921600000,1215400000
KSU,2016-12-31,1258600000,2334200000,182800000,-97700000,818500000,1075600000
BWFG,2019-12-31,0,58568000,4726000,,0,58568000
BWFG,2018-12-31,0,56786000,3720000,,0,56786000
BWFG,2017-12-31,0,57652000,11299000,,0,57652000
BWFG,2016-12-31,0,47854000,5960000,,0,47854000
ITIC,2019-12-31,76312000,183456000,8365000,,39777000,107144000
ITIC,2018-12-31,65443000,156271000,5210000,,27081000,90828000
ITIC,2017-12-31,71954000,161604000,4570000,,30248000,89650000
ITIC,2016-12-31,63886000,138476000,8616000,,28119000,74590000
CSII,2019-06-30,47680000,248017000,190000,-1684000,-825000,200337000
CSII,2018-06-30,39484000,217043000,132000,-1717000,2234000,177559000
CSII,2017-06-30,39441000,204906000,86000,-500000,-1542000,165465000
CSII,2016-06-30,34148000,176911000,92000,-500000,-44213000,142763000
BCOR,2019-12-31,362772000,717945000,-65054000,-20287000,76672000,355173000
BCOR,2018-12-31,263620000,560456000,311000,-16606000,67965000,296836000
BCOR,2017-12-31,245877000,509557000,-25890000,-24247000,51138000,263680000
BCOR,2016-12-31,222364000,455911000,-1285000,-38954000,41378000,233547000
NBHC,2019-12-31,0,277068000,15829000,,0,277068000
NBHC,2018-12-31,0,263236000,12230000,,0,263236000
NBHC,2017-12-31,0,172339000,21283000,,0,172339000
NBHC,2016-12-31,0,162016000,2947000,,0,162016000
PLT,2020-03-28,958894000,1696990000,-69401000,-92640000,-75644000,738096000
PLT,2019-03-30,948944000,1674535000,-50131000,-83000000,-44174000,725591000
PLT,2018-03-31,417788000,856903000,101096000,-29297000,125532000,439115000
PLT,2017-03-31,439806000,881176000,19066000,-29230000,129222000,441370000
BLD,2019-12-31,1942854000,2624121000,62783000,-37823000,289609000,681267000
BLD,2018-12-31,1808097000,2384249000,46072000,-28687000,230053000,576152000
BLD,2017-12-31,1445157000,1906266000,-30093000,-8019000,166864000,461109000
BLD,2016-12-31,1342506000,1742850000,43667000,-5608000,121604000,400344000
EDU,2019-05-31,1376269000,3096491000,85714000,-1615000,301907000,1720222000
EDU,2018-05-31,1065740000,2447430000,59408000,-1615000,262959000,1381690000
EDU,2017-05-31,749586000,1799509000,50624000,-1615000,262149000,1049923000
EDU,2016-05-31,614364000,1478348000,37531000,-1615000,195077000,863984000
BANF,2019-12-31,0,410863000,34683000,,0,410863000
BANF,2018-12-31,0,381873000,33938000,,0,381873000
BANF,2017-12-31,0,336697000,49866000,,0,336697000
BANF,2016-12-31,0,299341000,37263000,,0,299341000